歩行者信号,,信号ー寮入り口,寮入り口ー自室,青になる時間
青,赤,0:03:40.000.,0:01:14.420.,
0:00:23.880.,0:01:46.050.,,,
0:00:24.030.,0:01:47.450.,,,
0:00:24.450.,0:01:45.870.,,,
0:00:24.010.,0:01:46.000.,,,
0:00:23.980.,0:01:46.050.,,,
0:00:24.330.,0:01:35.050.,,,
0:00:20.710.,0:01:46.030.,,,
0:00:24.050.,0:01:45.930.,,,
0:00:23.980.,0:01:45.990.,,,
0:00:24.080.,0:01:45.950.,,,
0:00:24.210.,0:01:45.850.,,,
0:00:24.500.,0:01:46.180.,,,
0:00:24.010.,0:01:46.080.,,,
0:00:24.200.,0:01:45.878.,,,
0:00:24.100.,0:01:45.870.,,,
0:00:24.030.,0:01:46.040.,,,
0:00:23.960.,0:01:46.020.,,,
0:00:23.960.,,,,
